track_name,track_artist,track_popularity,playlist_genre,energy,danceability,valence,acousticness,loudness,tempo,popularity_tier
Die With A Smile,"Lady Gaga, Bruno Mars",100,pop,0.592,0.521,0.535,0.308,-7.777,157.969,high
BIRDS OF A FEATHER,Billie Eilish,97,pop,0.507,0.747,0.438,0.2,-10.171,104.978,high
That’s So True,Gracie Abrams,93,pop,0.808,0.554,0.372,0.214,-4.169,108.548,high
Taste,Sabrina Carpenter,81,pop,0.91,0.67,0.786,0.0939,-4.07,112.966,high
APT.,"ROSÉ, Bruno Mars",98,pop,0.783,0.777,0.939,0.0283,-4.477,149.027,high
"Good Luck, Babe!",Chappell Roan,94,pop,0.582,0.7,0.785,0.0502,-5.96,116.712,high
Diet Pepsi,Addison Rae,88,pop,0.561,0.669,0.841,0.495,-6.538,150.069,high
WILDFLOWER,Billie Eilish,93,pop,0.247,0.467,0.126,0.612,-12.002,148.101,high
Sailor Song,Gigi Perez,71,pop,0.416,0.492,0.297,0.686,-10.439,94.926,high
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",92,pop,0.722,0.769,0.57,0.0584,-5.485,119.973,high
Guess featuring billie eilish,"Charli xcx, Billie Eilish",85,pop,0.667,0.776,0.618,0.0146,-6.622,130.019,high
Please Please Please,Sabrina Carpenter,88,pop,0.586,0.669,0.579,0.274,-6.073,107.071,high
2 hands,Tate McRae,79,pop,0.806,0.608,0.587,0.121,-3.443,104.032,high
A Bar Song (Tipsy),Shaboozey,86,pop,0.709,0.722,0.604,0.0633,-4.95,81.012,high
HOT TO GO!,Chappell Roan,88,pop,0.757,0.742,0.957,0.0187,-4.981,139.982,high
Disease,Lady Gaga,86,pop,0.917,0.562,0.501,0.0513,-2.768,100.987,high
Moonlit Floor (Kiss Me),LISA,82,pop,0.787,0.734,0.672,0.126,-3.951,109.939,high
Love Somebody,Morgan Wallen,86,pop,0.843,0.619,0.746,0.00948,-5.348,122.064,high
"I Love You, I'm Sorry",Gracie Abrams,90,pop,0.406,0.53,0.338,0.656,-7.507,115.94,high
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",86,pop,0.782,0.727,0.655,0.0563,-8.529,119.992,high
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,pop,0.812,0.505,0.664,0.285,-3.986,80.09,high
Espresso,Sabrina Carpenter,90,pop,0.76,0.701,0.69,0.107,-5.478,103.969,high
Mantra,JENNIE,89,pop,0.725,0.894,0.838,0.00434,-4.984,116.988,high
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",82,pop,0.563,0.833,0.343,0.528,-5.593,105.008,high
NEW DROP,Don Toliver,85,pop,0.628,0.757,0.321,0.189,-6.715,119.98,high
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",84,pop,0.855,0.638,0.731,0.00757,-4.86,127.986,high
Too Sweet,Hozier,77,pop,0.62,0.741,0.934,0.0295,-5.505,117.038,high
No One Noticed,The Marías,84,pop,0.339,0.705,0.457,0.552,-10.612,97.989,high
Tu Boda,"Oscar Maydon, Fuerza Regida",93,pop,0.651,0.694,0.471,0.496,-6.968,112.648,high
Stargazing,Myles Smith,88,pop,0.601,0.635,0.332,0.246,-6.129,123.994,high
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",70,pop,0.691,0.836,0.703,0.00586,-4.222,167.029,high
we can't be friends (wait for your love),Ariana Grande,81,pop,0.646,0.645,0.295,0.0615,-8.334,115.842,high
Beautiful Things,Benson Boone,85,pop,0.471,0.472,0.219,0.151,-5.692,105.029,high
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",84,pop,0.709,0.744,0.712,0.0501,-5.778,194.055,high
Touch,KATSEYE,85,pop,0.904,0.739,0.788,0.549,-2.655,167.033,high
Lose Control,Teddy Swims,89,pop,0.604,0.561,0.242,0.199,-4.409,159.92,high
Belong Together,Mark Ambor,82,pop,0.668,0.646,0.64,0.491,-5.203,90.969,high
Si Antes Te Hubiera Conocido,KAROL G,93,pop,0.668,0.924,0.787,0.446,-6.795,128.027,high
End of Beginning,Djo,89,pop,0.454,0.689,0.912,0.0351,-7.643,159.982,high
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",84,pop,0.386,0.504,0.281,0.502,-10.976,192.004,high
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",89,pop,0.681,0.56,0.388,0.103,-6.304,155.079,high
Not Like Us,Kendrick Lamar,88,pop,0.472,0.898,0.214,0.0107,-7.001,101.061,high
Running Wild,Jin,85,pop,0.711,0.487,0.317,0.000175,-4.22,146.921,high
57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",84,pop,0.712,0.848,0.692,0.221,-3.574,91.98,high
Embrace It,Ndotz,87,pop,0.645,0.882,0.788,0.475,-7.233,114.933,high
The Emptiness Machine,Linkin Park,89,pop,0.872,0.466,0.806,0.0156,-3.344,184.115,high
Who,Jimin,92,pop,0.756,0.66,0.838,0.00289,-3.743,116.034,high
Hotel California - 2013 Remaster,Eagles,81,rock,0.508,0.579,0.609,0.00574,-9.484,147.125,high
Thunderstruck,AC/DC,83,rock,0.89,0.502,0.259,0.000147,-5.175,133.52,high
Seven Nation Army,The White Stripes,82,rock,0.446,0.743,0.278,0.0039,-7.807,123.596,high
Creep,Radiohead,86,rock,0.43,0.515,0.104,0.0097,-9.935,91.844,high
Come As You Are,Nirvana,76,rock,0.824,0.5,0.539,0.00016,-5.846,120.125,high
Californication,Red Hot Chili Peppers,81,rock,0.767,0.592,0.328,0.0021,-2.788,96.483,high
Sweet Child O' Mine,Guns N' Roses,84,rock,0.952,0.445,0.624,0.09,-5.321,125.304,high
"Paint It, Black",The Rolling Stones,81,rock,0.795,0.464,0.612,0.0493,-9.267,158.691,high
Dreams - 2004 Remaster,Fleetwood Mac,84,rock,0.492,0.828,0.789,0.0644,-9.744,120.151,high
Everlong,Foo Fighters,81,rock,0.881,0.413,0.364,5.99e-05,-5.541,158.066,high
I Love Rock 'N Roll,Joan Jett & the Blackhearts,77,rock,0.716,0.535,0.901,0.326,-5.025,94.379,high
Dust in the Wind,Kansas,79,rock,0.322,0.475,0.387,0.367,-10.687,93.503,high
"Another Brick in the Wall, Pt. 2",Pink Floyd,74,rock,0.394,0.693,0.721,0.0782,-15.882,104.114,high
Runaway,Bon Jovi,72,rock,0.899,0.475,0.603,0.00375,-4.321,152.445,high
Basket Case,Green Day,80,rock,0.943,0.442,0.781,0.00293,-3.205,85.064,high
Under the Bridge,Red Hot Chili Peppers,82,rock,0.345,0.559,0.458,0.0576,-13.496,84.581,high
White Wedding - Pt. 1,Billy Idol,70,rock,0.814,0.673,0.728,0.0134,-5.411,147.193,high
You Shook Me All Night Long,AC/DC,81,rock,0.767,0.532,0.755,0.00287,-5.509,127.361,high
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,76,rock,0.863,0.723,0.931,0.0383,-7.89,136.302,high
Starman - 2012 Remaster,David Bowie,76,rock,0.449,0.486,0.549,0.166,-10.298,100.456,high
Whole Lotta Love - 1990 Remaster,Led Zeppelin,72,rock,0.902,0.412,0.422,0.0484,-11.6,89.74,high
Riders on the Storm,The Doors,70,rock,0.722,0.55,0.716,0.25,-11.729,103.886,high
Even Flow,Pearl Jam,77,rock,0.944,0.394,0.265,0.00178,-6.506,105.338,high
Born in the U.S.A.,Bruce Springsteen,72,rock,0.952,0.398,0.584,0.000373,-6.042,122.093,high
Bitter Sweet Symphony - Remastered 2016,The Verve,79,rock,0.917,0.356,0.518,0.0335,-6.006,171.176,high
Don't Cry (Original),Guns N' Roses,75,rock,0.589,0.455,0.254,0.00184,-8.64,124.634,high
All Along the Watchtower,Jimi Hendrix,72,rock,0.805,0.438,0.564,0.00255,-6.237,113.253,high
In The Air Tonight - 2015 Remastered,Phil Collins,76,rock,0.239,0.446,0.298,0.551,-13.945,189.507,high
Psycho Killer - 2005 Remaster,Talking Heads,76,rock,0.521,0.721,0.942,0.0708,-8.123,123.118,high
Are You Gonna Go My Way,Lenny Kravitz,71,rock,0.67,0.619,0.777,0.00165,-10.322,129.269,high
Master of Puppets (Remastered),Metallica,70,rock,0.828,0.539,0.562,0.00067,-9.108,105.25,high
Everywhere - 2017 Remaster,Fleetwood Mac,79,rock,0.487,0.73,0.731,0.258,-10.991,114.965,high
Have You Ever Seen The Rain,Creedence Clearwater Revival,84,rock,0.697,0.741,0.774,0.0664,-7.028,116.109,high
Just What I Needed,The Cars,69,rock,0.579,0.62,0.691,0.0152,-9.307,127.215,high
Smells Like Teen Spirit,Nirvana,76,rock,0.912,0.502,0.72,2.55e-05,-4.556,116.761,high
Killing In The Name,Rage Against The Machine,78,rock,0.833,0.466,0.661,0.0266,-4.215,88.785,high
Come Together - Remastered 2009,The Beatles,75,rock,0.376,0.53,0.188,0.0304,-11.913,164.775,high
Carry on Wayward Son,Kansas,73,rock,0.786,0.482,0.793,0.00321,-5.735,126.755,high
Song 2 - 2012 Remaster,Blur,78,rock,0.789,0.674,0.918,0.00178,-6.903,129.802,high
Where Is My Mind? - 2007 Remaster,Pixies,76,rock,0.441,0.519,0.25,0.0204,-14.178,81.334,high
Should I Stay or Should I Go - Remastered,The Clash,80,rock,0.836,0.743,0.82,0.0804,-6.465,113.375,high
Another One Bites The Dust - Remastered 2011,Queen,71,rock,0.528,0.932,0.757,0.115,-6.472,109.975,high
Uprising,Muse,75,rock,0.905,0.602,0.411,0.000202,-4.046,128.019,high
For What It's Worth,Buffalo Springfield,76,rock,0.519,0.653,0.822,0.406,-10.164,98.883,high
You Really Got Me - 2015 Remaster,Van Halen,68,rock,0.946,0.454,0.647,0.0223,-5.978,138.18,high
Black Hole Sun,Soundgarden,76,rock,0.828,0.35,0.147,0.000217,-5.373,105.435,high
Black Magic Woman - Single Version,Santana,70,rock,0.349,0.489,0.622,0.676,-14.295,124.348,high
Fly Away,Lenny Kravitz,73,rock,0.872,0.587,0.735,0.018,-5.066,159.925,high
Message In A Bottle,The Police,75,rock,0.808,0.577,0.869,0.0338,-7.04,151.008,high
Heroes - 2017 Remaster,David Bowie,72,rock,0.758,0.489,0.435,0.000678,-6.491,112.113,high
Immigrant Song - Remaster,Led Zeppelin,75,rock,0.932,0.564,0.619,0.013,-10.068,112.937,high
Mr. Blue Sky,Electric Light Orchestra,76,rock,0.338,0.388,0.478,0.652,-10.054,177.765,high
Back In Black,AC/DC,83,rock,0.7,0.31,0.763,0.011,-5.678,188.386,high
Barracuda,Heart,74,rock,0.691,0.548,0.667,0.015,-13.553,137.145,high
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,79,rock,0.532,0.601,0.342,0.433,-9.119,136.576,high
Heart-Shaped Box,Nirvana,79,rock,0.641,0.256,0.382,0.199,-10.283,203.006,high
Life in the Fast Lane - 2013 Remaster,Eagles,68,rock,0.755,0.667,0.883,0.0966,-7.246,109.535,high
Africa,TOTO,83,rock,0.373,0.671,0.732,0.257,-18.064,92.718,high
(Don't Fear) The Reaper,Blue Öyster Cult,75,rock,0.927,0.333,0.385,0.0029,-8.55,141.466,high
1979 - Remastered 2012,The Smashing Pumpkins,77,rock,0.787,0.767,0.964,0.0163,-9.897,126.879,high
Comfortably Numb,Pink Floyd,71,rock,0.366,0.472,0.171,0.15,-12.595,127.163,high
Black Dog - Remaster,Led Zeppelin,69,rock,0.864,0.437,0.749,0.396,-7.842,81.394,high
No One Knows,Queens of the Stone Age,69,rock,0.584,0.509,0.685,0.0368,-4.907,170.411,high
Long Train Runnin',The Doobie Brothers,69,rock,0.912,0.575,0.843,0.0916,-7.275,117.399,high
Loser,Beck,69,rock,0.611,0.654,0.786,0.0337,-10.45,85.387,high
American Pie,Don McLean,74,rock,0.482,0.529,0.492,0.7,-11.709,138.453,high
Roxanne,The Police,77,rock,0.748,0.618,0.663,0.0384,-8.905,134.114,high
My Sharona,The Knack,69,rock,0.7,0.586,0.897,0.0589,-9.558,147.245,high
Walk On the Wild Side,Lou Reed,74,rock,0.318,0.575,0.385,0.683,-16.729,104.522,high
The Boys Are Back In Town,Thin Lizzy,70,rock,0.706,0.445,0.768,0.234,-9.803,80.823,high
Highway to Hell,AC/DC,84,rock,0.913,0.574,0.423,0.061,-4.793,115.728,high
Vienna,Billy Joel,79,rock,0.495,0.532,0.308,0.659,-6.662,124.936,high
Alive,Pearl Jam,73,rock,0.875,0.284,0.595,0.00752,-6.069,75.009,high
The Best,Tina Turner,69,rock,0.737,0.662,0.744,0.108,-9.54,103.867,high
Give It Away,Red Hot Chili Peppers,72,rock,0.936,0.666,0.776,0.00244,-9.919,91.577,high
Good Riddance (Time of Your Life),Green Day,79,rock,0.432,0.475,0.648,0.183,-7.844,94.605,high
The Boys Of Summer,Don Henley,73,rock,0.549,0.516,0.907,0.501,-13.741,176.941,high
Break on Through (To the Other Side),The Doors,72,rock,0.751,0.421,0.789,0.2,-9.584,89.839,high
Sabotage,Beastie Boys,71,rock,0.938,0.324,0.543,0.032,-7.332,168.131,high
Pour Some Sugar On Me - Remastered 2017,Def Leppard,72,rock,0.953,0.267,0.568,0.00211,-4.899,84.989,high
Learn to Fly,Foo Fighters,73,rock,0.919,0.465,0.537,1.83e-05,-4.025,135.997,high
Hit Me With Your Best Shot,Pat Benatar,70,rock,0.58,0.741,0.944,0.117,-9.05,127.402,high
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,73,rock,0.72,0.404,0.475,5.59e-05,-9.18,121.864,high
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,72,rock,0.927,0.215,0.49,0.000273,-7.327,170.814,high
London Calling - Remastered,The Clash,70,rock,0.801,0.651,0.776,0.123,-7.34,133.769,high
Wish You Were Here,Pink Floyd,75,rock,0.262,0.481,0.375,0.735,-15.73,122.861,high
Free Fallin',Tom Petty,75,rock,0.449,0.623,0.573,0.212,-13.333,84.383,high
No Rain,Blind Melon,73,rock,0.476,0.389,0.566,0.619,-9.342,148.117,high
Panama - 2015 Remaster,Van Halen,72,rock,0.978,0.526,0.451,0.00122,-5.436,141.167,high
Would? (2022 Remaster),Alice In Chains,72,rock,0.842,0.297,0.586,0.000286,-7.457,100.127,high
Born to Run,Bruce Springsteen,70,rock,0.944,0.27,0.606,0.00501,-4.199,146.347,high
Unforgettable,Nat King Cole,69,jazz,0.182,0.349,0.178,0.92,-13.507,136.094,high
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",68,classical,0.164,0.136,0.071,0.911,-18.756,58.303,high
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",68,classical,0.00527,0.184,0.151,0.995,-37.264,170.612,high
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",75,classical,0.449,0.447,0.036,0.934,-10.634,92.468,high
HIM ALL ALONG,Gunna,76,hip-hop,0.507,0.872,0.506,0.195,-6.323,130.007,high
Leave Me Alone,BigXthaPlug,71,hip-hop,0.802,0.835,0.374,0.0311,-4.286,128.085,high
PLUTOSKI,Future,73,hip-hop,0.533,0.794,0.15,0.14,-8.206,120.011,high
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",78,hip-hop,0.684,0.832,0.68,0.00449,-4.691,166.976,high
